authors,title,abstract,keywords_detected,model_comments,model,general_comment
"Caltais G,Meyer B",On the verification of SCOOP programs,"In this paper we focus on the development of a unifying framework for the formal modeling of an object oriented-programming language, its underlying concurrency model and their associated analysis tools. More precisely, we target SCOOP – an elegant concurrency model, recently formalized based on Rewriting Logic (RL) and Maude. SCOOP is implemented in Eiffel and its applicability is demonstrated also from a practical perspective, in the area of robotics programming. Our contribution consists of devising and integrating an alias analyzer and a Coffman deadlock detector under the roof of the same RL-based semantic framework of SCOOP. This enables using the Maude rewriting engine and its LTL model-checker “for free,” in order to perform the analyses of interest. We discuss the limitations of our approach for model-checking deadlocks and provide possible workarounds for the state space explosion problem. On the aliasing side, we propose an extension of a previously introduced alias calculus based on program expressions, to the setting of unbounded program executions. Moreover, we devise a corresponding executable specification easily implementable on top of the SCOOP formalization. An important property of our extension is that, in non-concurrent settings, the corresponding alias expressions can be over-approximated in terms of a notion of regular expressions. This further enables us to derive an algorithm for computing a sound over-approximation of the “may aliasing” information, where soundness stands for the lack of false negatives.","SCOOP, Operational semantics, Alias analysis, Deadlock detection, Rewriting logic",,SOFL,
Oliver Stehr M,CINNI - A Generic Calculus of Explicit Substitutions and its Application to λ- ς- and π-Calculi,"We approach the general problem of representing higher-order languages, that are usually equipped with special variable binding constructs, in a less specialized first-order framework such as membership equational logic and the corresponding version of rewriting logic. The solution we propose is based on CINNI, a new calculus of explicit substitutions that makes use of a term representation that contains both the standard named notation and de Bruijn's indexed notation as special subcases. The calculus is parametric in the syntax of the object language, which allows us to apply it to different object languages such as λ-calculus, Abadi and Cardelli's object calculus (ς-calculus) and Milner's calculus of communicating mobile processes (π-calculus). As a practical result we obtain executable formal representations of these object languages in Maude with a representational distance close to zero.","Higher-Order Languages, Explicit Substitutions, Logical Frameworks, Rewriting Logic, Maude, Lambda-Calculus, Sigma-Calculus, Pi-Calculus",,SOFL,
Shaoying Liu,SOFL: a formal engineering methodology for industrial applications,"Summary form only given, as follows. A major challenge for formal methods is to effectively address the needs of industry and achieve wide acceptance. This challenge remains unmet, as formal methods are difficult to use and their application consumes prohibitive amounts of resource. Much research on the integration of available formal methods (e.g. Z, VDM, B-method) and either structured methodology or object-oriented methodology has been conducted to make formal methods more practical, but with limited success. No attempt has yet been made to integrate the three approaches of formal methods, structured methodology and object-oriented methodology to take advantage of the desirable features of the three approaches. As one approach to the solution of these problems, we propose a language called SOFL (Structured Object-oriented Formal Language) for system development. It supports the concept that a system can be constructed using the structured methodology in the early stages of its development, and by using object-oriented methodology at later, more detailed levels. During the complete system development process, formal methods are applied in a manner that best uses their capabilities.",,,SOFL,
S. Liu; Jin Song Dong,Class and module in SOFL,"SOFL is a formal language and method for system specification and design. It was developed by integrating Petri Nets, Data Flow Diagrams, and VDM-SL. As the major feature of the original SOFL method is to use structured techniques for analysis and specification, and object-oriented techniques for design and implementation, SOFL has its own implementation language that is similar to C++. However during our recent work of applying SOFL to software systems, the transformation of structured specifications to object-oriented implementations creates some difficulties, simply because of paradigms mismatch. In this paper we extend SOFL to a formal object-oriented language and method while keeping its structured features. This will allow powerful object-oriented reuse mechanisms, such as class inheritance and object composition, to be utilized in the early phases, and transformation from SOFL specifications to commercial object-oriented programming languages to be readily achieved.",,,SOFL,
Jin Song Dong; Shaoying Liu,The semantics of extended SOFL,"SOFL (structured-object-based-formal language) has been extended to a formal object-oriented language and method while keeping its structured features. This extension allows powerful object-oriented reuse mechanisms, such as class inheritance and object composition, to be utilized in the early design phases. This paper presents the semantics for this extended SOFL, and further demonstrates the extendibility and reusability of the object-oriented semantic models of SOFL.",,,SOFL,
C. Ho-Stuart; Shaoying Liu,A formal operational semantics for SOFL,"SOFL (Structured-Object-Based-Formal Language) is a formal language and method for practical systems development. As a language, it integrates data flow diagrams, VDM-SL, and Petri nets to provide a graphical and textual formal notation for specification construction. Previous publications introducing SOFL are based on its informal semantics. We provide a formal operational semantics which gives a firm foundation for consistent understanding and application of SOFL in practical systems development. Development of the semantics, and application of SOFL to practical systems, have led to some changes in the original definitions. This formal semantics will serve as a firm foundation for building an effective support environment for SOFL.",,,SOFL,
N. Soundarajan; S. Fridella,Behavioral subtyping and behavioral enrichment of multimethods,"Multimethods can provide considerable flexibility to the OO (object oriented) designer. The authors' goal is to address issues related to reasoning about the behavior of multimethods. Specifically they show that the important notion of behavioral subtyping can be naturally extended to multimethods. The authors also investigate how, when reasoning about code that invokes multimethods, one can appeal to the enriched behavior provided by the specialized methods.",,,Soundarajan/Fridella model,
N. Soundarajan; S. Fridella,Inheriting and modifying behavior,"In languages such as C++, the mechanism of protected members is critical to making inheritance work. It allows access to some of the intervals of a base class B to the designer of a derived class D, while denying it to clients of B. The authors develop a formal approach in which class behavior is precisely specified in terms of an abstract specification and a concrete specification, the former for use by a client, the latter containing information about how the protected members change, for use by a derived class designer. They present rules that allow one to establish that a class meets both specifications.",,,Soundarajan/Fridella model,
J. M. Smith; D. Stotts,SPQR: flexible automated design pattern extraction from source code,"Previous automated approaches to discovering design patterns in source code have suffered from a need to enumerate static descriptions of structural and behavioral relationships, resulting in a finite library of variations on pattern implementation. Our approach, system for pattern query and recognition, or SPQR, differs in that we do not seek statically to encode each variant of the patterns that we wish to find. Our system finds pattern variants that were not explicitly defined, but instead are inferred dynamically during code analysis by a theorem prover, providing practical tool support for software construction, comprehension, maintenance, and refactoring. We use a logical inference system to reveal large numbers of patterns and their variations from a small number of definitions by encoding in a formal denotational semantics a small number of fundamental OO concepts (elemental design patterns), encode the rules by which these concepts are combined to form patterns (reliance operators), and encode the structural/behavioral relationships among components of objects and classes (rho-calculus). A chain of fully automated tools provides a path from source code to revealed patterns. We describe our approach in this paper with a concrete example to drive the discussion, accompanied by formal treatment of the foundational topics.",,,SPQR,
F. Arcelli; S. Masiero; C. Raibulet,Elemental Design Patterns Recognition In Java,"The decomposition of design patterns into simpler elements may reduce significantly the creation of variants in forward engineering, while it increases the possibility of identifying applied patterns in reverse engineering. Nevertheless, there are few reverse engineering tools that exploit the decomposition of patterns (i.e., FUJABA, SPQR). The SPQR approach introduces a catalog of elemental design patterns (EDP) and a rule set based on sigma-calculus through which EDPs are defined and composed into design patterns. Considering the SPQR approach particularly interesting, we propose a novel solution for defining and detecting EDPs and, further, design patterns. Our approach defines EDPs as logical functions of eight symbolic variables, each variable representing a method call (e.g., method name, method signature, method declaration, this reference, super reference) or a class property (superclass, same family, same object). An EDP detector has been developed based on this approach, representing a starting point for future developments towards design pattern recognition in the reverse engineering context",,,SPQR based,
"Summers AJ,Mueller P",Freedom before Commitment: A Lightweight Type System for Object Initialisation,"One of the main purposes of object initialisation is to establish invariants such as a field being non-null or an immutable data structure containing specific values. These invariants are then implicitly assumed by the rest of the implementation, for instance, to ensure that a field may be safely dereferenced or that immutable data may be accessed concurrently. Consequently, letting an object escape from its constructor is dangerous; the escaping object might not yet satisfy its invariants, leading to errors in code that relies on them. Nevertheless, preventing objects entirely from escaping from their constructors is too restrictive; it is often useful to call auxiliary methods on the object under initialisation or to pass it to another constructor to set up mutually-recursive structures.We present a type system that tracks which objects are fully initialised and which are still under initialisation. The system can be used to prevent objects from escaping, but also to allow safe escaping by making explicit which objects might not yet satisfy their invariants. We designed, formalised and implemented our system as an extension to a non-null type system, but it is not limited to this application. Our system is conceptually simple and requires little annotation overhead; it is sound and sufficiently expressive for many common programming idioms. Therefore, we believe it to be the first such system suitable for mainstream use.","simple, modular, sound, expressive, non-null, type-system, initialisation",,Summers/Mueller type system,
"Yang Y,Oliveira BC",Unifying Typing and Subtyping,"In recent years dependent types have become a hot topic in programming language research. A key reason why dependent types are interesting is that they allow unifying types and terms, which enables both additional expressiveness and economy of concepts. Unfortunately there has been much less work on dependently typed calculi for object-oriented programming. This is partly because it is widely acknowledged that the combination between dependent types and subtyping is particularly challenging.This paper presents λ I≤, which is a dependently typed generalization of System F≤. The resulting calculus follows the style of Pure Type Systems, and contains a single unified syntactic sort that accounts for expressions, types and kinds. To address the challenges posed by the combination of dependent types and subtyping, λ I≤ employs a novel technique that unifies typing and subtyping. In λ I≤ there is only a judgement that is akin to a typed version of subtyping. Both the typing relation, as well as type well-formedness are just special cases of the subtyping relation. The resulting calculus has a rich metatheory and enjoys of several standard and desirable properties, such as subject reduction, transitivity of subtyping, narrowing as well as standard substitution lemmas. All the metatheory of λ I≤ is mechanically proved in the Coq theorem prover. Furthermore, (and as far as we are aware) λ I≤ is the first dependently typed calculus that completely subsumes System F≤, while preserving various desirable properties.","dependent types, subtyping, object-oriented programming",,"system F based
DOT based",
"Xu H,Yu S",Type Theory and Language Constructs for Objects with States,"In current class-based Object-Oriented Programming Languages (OOPLs), object types include only static features. How to add object dynamic behaviors modeled by Harel's statecharts into object types is a challenging task. We propose adding states and state transitions, which are largely unstated in object type theory, into object type definitions and typing rules. We argue that dynamic behaviors of objects should be part of object type definitions. We propose our type theory, the τ-calculus, which refines Abadi and Cardelli's ζ-calculus, in modeling objects with their dynamic behaviors. In our proposed type theory, we also explain that a subtyping relation between object types should imply the inclusion of their dynamic behaviors. By adding states and state transitions into object types, we propose modifying programming language constructs for state tracking.","object types, object dynamic behaviors, -calculus, -calculus, programming language constructs, state tracking",,"tau calculus
Abadi/Cardelli based
",
"Takikawa A,Strickland TS,Dimoulas C,Tobin-Hochstadt S,Felleisen M",Gradual Typing for First-Class Classes,"Dynamic type-checking and object-oriented programming often go hand-in-hand; scripting languages such as Python, Ruby, and JavaScript all embrace object-oriented (OO) programming. When scripts written in such languages grow and evolve into large programs, the lack of a static type discipline reduces maintainability. A programmer may thus wish to migrate parts of such scripts to a sister language with a static type system. Unfortunately, existing type systems neither support the flexible OO composition mechanisms found in scripting languages nor accommodate sound interoperation with untyped code. In this paper, we present the design of a gradual typing system that supports sound interaction between statically- and dynamically-typed units of class-based code. The type system uses row polymorphism for classes and thus supports mixin-based OO composition. To protect migration of mixins from typed to untyped components, the system employs a novel form of contracts that partially seal classes. The design comes with a theorem that guarantees the soundness of the type system even in the presence of untyped components.","first-class classes, contracts, blame theorem (proof technique), design by contract, row polymorphism, gradual typing, sealing",,TFCC,
"Jagannathan S,Vitek J,Welc A,Hosking A",A transactional object calculus,"A transaction defines a locus of computation that satisfies important concurrency and failure properties. These so-called ACID properties provide strong serialization guarantees that allow us to reason about concurrent and distributed programs in terms of higher-level units of computation (e.g., transactions) rather than lower-level data structures (e.g., mutual-exclusion locks). This paper presents a framework for specifying the semantics of a transactional facility integrated within a host programming language. The TFJ calculus, an object calculus derived from Featherweight Java, supports nested and multi-threaded transactions. We give a semantics to TFJ that is parametrized by the definition of the transactional mechanism that permits the study of different transaction models. We give two instantiations: one that defines transactions in terms of a versioning-based optimistic concurrency model, and the other which specifies transactions in terms of a pessimistic two-phase locking protocol, and present soundness and serializability properties for our semantics.","Transactions, Threads, Object calculus, Nesting, Optimistic concurrency, Two-phase locking",,"TFJ calculus
Featherweight based",
Ryu S,ThisType for Object-Oriented Languages: From Theory to Practice,"In object-oriented programs, objects often provide methods whose parameter types or return types are the object types themselves. For example, the parameter types of binary methods are the types of their receiver objects, and the return types of some factory methods are the types of their enclosing objects. However, most object-oriented languages do not support such methods precisely because their type systems do not support explicit recursive types, which lead to a mismatch between subclassing and subtyping. This mismatch means that an expression of a subclass may not always be usable in a context where an expression of a superclass is expected, which is not intuitive in an object-oriented setting. Researchers have proposed various type-sound approaches to support methods with types of their enclosing object types denoted by some variants of ThisType, but they reject reasonable and useful methods due to unpermissive type systems or they use less precise declared inexact types rather than runtime exact types.In this article, we present a thorough approach to support methods with ThisTypes: from a new encoding of objects in a typed lambda calculus that allows subtyping by subclassing to an open-source implementation as an extension of the Java programming language. We first provide real-world examples that motivate the need for ThisTyped methods to precisely describe desired properties of programs. We define a new object encoding that enables subtyping by subclassing even in the presence of negative occurrences of type recursion variables by distinguishing object types from existential object types. Based on this object encoding, we formalize language features to support ThisTyped methods with a core calculus CoreThisJava, and prove its type soundness. Finally, we provide ThisJava, a prototype implementation of the calculus, to show its backward compatibility, and we make it publicly available. We believe that our approach theoretically expands the long pursuit of an object-oriented language with ThisTypes to support more useful methods with more precise types.","ThisType, binary methods, generic factory methods, exact types, virtual constructors, Object-oriented languages",,ThisJava,
"Na H,Ryu S,Choe K",Exact Type Parameterization and ThisType Support,"We propose language support for binary methods and generic factory methods using ThisType. We present three new language features: (1) exact type capture which relaxes the restriction of earlier static approaches to binary methods that the run-time type of a binary method's receiver should be statically fixed, (2) named wildcards which allow more binary method invocations and more precise typing results, and (3) virtual constructors which support method definitions with return types of ThisType. We formalize these features with a core calculus CoreThisJava and prove its type soundness, exact type match and algorithmic subtyping.A modified notion of ThisType and exact type parameterization with bidirectional F-bound property form the basis of the above features. We also show that \inheritance makes subtypes\"" with our notion of ThisType and existential types as object types.""","generic factory methods, exact types, exact type capture, binary methods, virtual constructors, object-oriented languages, thistype, named wildcards",,ThisJava,
H. M. Al-Haddad; K. M. George; M. H. Samadzadeh,Description of a new approach to object inheritance,"A new approach to object inheritance is proposed. The approach is a two-faceted object inheritance model (TIM). TIM is compared with the existing models in terms of the inheritance features provided by these models. TIM is an object inheritance model based on code sharing with the ability to capture the other views of inheritance. It provides single and multiple inheritance on the basis of the message-passing paradigm and provides semantics for object creation and deletion. TIM avoids some of the problems in the existing models and provides full support for other issues related to object-oriented programming such as information hiding, subtyping, and the visibility of inheritance. A simulation of a C++ program using TIM is given as an example.<<ETX>></ETX>",,TIM,TIM Model,
"Cameron N,Noble J,Wrigstad T",Tribal Ownership,"Tribal Ownership unifies class nesting and object ownership. Tribal Ownership is based on Tribe, a language with nested classes and object families. In Tribal Ownership, a program's runtime object ownership structure is characterised by the lexical nesting structure of its classes.We build on a variant of Tribe to present a descriptive ownership system, using object nesting to describe heap partitions, but without imposing any restrictions on programming disciplines. We then demonstrate how a range of different prescriptive ownership policies can be supported on top of the descriptive Tribal Ownership mechanism; including a novel owners-as-local-dominators policy. We formalise our type system and prove soundness and several ownership invariants. The resulting system requires strikingly few annotations, and uses well-understood encapsulation techniques to create ownership systems that should be intuitive for programmers.","family polymorphism, virtual classes, nested classes, ownership types",,Tribe,
"Chandersekaran CS,Linger RC",Software specification using the special language,"This paper presents a tutorial overview of special, a formal specification and assertion language created by SRI International as part of their hierarchical design methodology. The language is based on a formal model of system behavior and is supported by language processors that assist in the interactive development of specifications. special is a strongly typed language that models data and programs as abstract resources known as objects. Collections of modules known as abstract machines are the major building blocks of a software specification in special. The technical foundations of special and the components of a special specification are described. A sample specification is detailed in an appendix.",,abstract machines,turing machines,
"Maidl AM,Mascarenhas F,Ierusalimschy R",A Formalization of Typed Lua,"Programmers often migrate from a dynamically typed to a statically typed language when their simple scripts evolve into complex programs. Optional type systems are one way of having both static and dynamic typing in the same language, while keeping its dynamically typed semantics. This makes evolving a program from dynamic to static typing a matter of describing the implied types that it is using and adding annotations to make those types explicit. Designing an optional type system for an existing dynamically typed language is challenging, as its types should feel natural to programmers that are already familiar with this language. In this work, we give a formal description of Typed Lua, an optional type system for Lua, with a focus on two of its novel type system features: incremental evolution of imperative record and object types that is both lightweight and type-safe, and projection types, a combination of flow typing, functions that return multiple values, and multiple assignment. While our type system is tailored to the features and idioms of Lua, its features can be adapted to other imperative scripting languages.","Lua, Gradual Typing, Optional Type Systems",,TypedLua,
Kurz A,Specifying Coalgebras with Modal Logic,"We propose to use modal logic as a logic for coalgebras and discuss it in view of the work done on coalgebras as a semantics of object-oriented programming. Two approaches are taken: First, standard concepts of modal logic are applied to coalgebras. For a certain kind of functor it is shown that the logic exactly captures the notion of bisimulation and a complete calculus is given. Second, we discuss the relationship of this approach with the coalgebraic logic of Moss [6].",,,UML,
"Ishikawa Y,Tomura S,Futatsugi K",The Semantics of an Object-Oriented Concurrent Programming Language: Process Algebraic Approach,"Summary In this paper, the formal semantics of an object-oriented concurrent programming language called Mono is given. Mono is a model language that includes key features of object-oriented concurrent languages, e.g., synchronous and asynchronous message passing, delegation mechanism, and so on. A process algebra called ECCS, which is an extension of CCS, is introduced. The semantics of ECCS is defined by inference rules. The transformation function that transforms Mono into ECCS gives the formal semantics of Mono.",,,UML,
"Rees DL,Stephenson K,Tucker JV",The algebraic structure of interfaces,"In this paper we examine formally the idea that the architecture of a system can be modelled by the structure of its interface expressed in terms of the interfaces for its components. Thus,SystemInterfaceArchitecture=StructuredsetofSub-systemInterfaces.We specify an abstract model for interface definition languages (IDLs) based on this idea and the idea that anInterface=Name+Imports+Body.A set of interfaces is a repository. An interface architecture is a repository with some primary interfaces identified; the import dependencies between the interfaces of a repository are used to determine its structure. The abstract model uses algebraic specifications to define the abstract syntax of a general IDL, and interface transformations using structural induction. We examine a flattening process which assembles a system interface from its components. We use the general model to derive a simple IDL suitable for the design phase of object-oriented software development. This requires us to specify a form of Body that treats both data types and state, and in Body we explicitly distinguish between methods with and without side-effects, by commands and queries, respectively. We also consider alternative proposals for Body that yield new IDLs, including other object-oriented design languages and data type specification languages.","Interface, Interface definition language, Imports, Flattening, Software architecture, Algebraic specification, Abstract syntax, Object-oriented architecture",,UML,
"Bergel A,Ducasse S,Nierstrasz O,Wuyts R",Stateful traits and their formalization,"Traits offer a fine-grained mechanism to compose classes from reusable components while avoiding problems of fragility brought by multiple inheritance and mixins. Traits as originally proposed are stateless, that is, they contain only methods, but no instance variables. State can only be accessed within stateless traits by accessors, which become required methods of the trait. Although this approach works reasonably well in practice, it means that many traits, viewed as software components, are artificially incomplete, and classes that use such traits may contain significant amounts of boilerplate glue code. We present an approach to stateful traits that is faithful to the guiding principle of stateless traits: the client retains control of the composition. Stateful traits consist of a minimal extension to stateless traits in which instance variables are purely local to the scope of a trait, unless they are explicitly made accessible by the composing client of a trait. We demonstrate by means of a formal object calculus that adding state to traits preserves the flattening property: traits contained in a program can be compiled away. We discuss and compare two implementation strategies, and briefly present a case study in which stateful traits have been used to refactor the trait-based version of the Smalltalk collection hierarchy.","Traits, Mixin, Multiple-inheritance, Eiffel, Jigsaw, Flattening",,VDM,
"Abadi M,Cardelli L",A theory of primitive objects: Second-order systems,"We describe a second-order calculus of objects. The calculus supports object subsumption, method override, and the type Self. It is constructed as an extension of System F with subtyping, recursion, and first-order object types.",,,VDM,
A. Nadeem; M. R. Lyu,A Framework for Inheritance Testing from VDM++ Specifications,"The benefits offered by the use of formal methods are not limited to avoidance of specification errors and elimination of ambiguities only - a formal specification also provides a sound basis for generating test suites. Inheritance is a powerful mechanism in object-oriented paradigm by which a subclass inherits data and functionality of a super class. Testing of inheritance relationships is crucial in object-oriented testing, as an inheritance error may lead to subtle bugs such as due to overridden functionality. In this paper, we introduce a technique to generate test cases for inheritance testing, using a VDM++ formal specification. The proposed technique is based on the flattening of a VDM++ specification class, and then generating operation sequences from the trace structure specified in the VDM++ specification. The input space for each operation is partitioned, and a test model is constructed from the operation sequences and the input partitions. Test paths are generated from the test model, which cover the different operation sequences as well as the partitions. We also define various coverage criteria for test path generation",,,VDM,
R. Vosilovich kabulov; O. Bakhtiyorovich Ruzibaev; K. Temur Ataxanovich; S. Saidqulovich Muminov,Formalization of Data Derivative Structures,"The paper considers the topical issue of formal description of data structures. Data structures are widely used in modern object-oriented programming to solve various practical problems. The paper introduces functions for performing operations with such data structures as stack, queue, and priority queue. The conditions that these functions must satisfy are introduced as axioms. To describe the axioms, an approach based on an abstract data type, algebraic and programmatic approaches were used.",data structure;container;type;function;axiom;precondition;constructor;operation,,Vosilovich model,data model
Wand M,Type inference for record concatenation and multiple inheritance,"We show that the type inference problem for a lambda calculus with records, including a record concatenation operator, is decidable. We show that this calculus does not have principal types, but does have finite complete sets of types: that is, for any term M in the calculus, there exists an effectively generable finite set of type schemes such that every typing for M is an instance of one of the schemes in the set. We show how a simple model of object-oriented programming, including hidden instance variables and multiple inheritance, may be coded in this calculus. We conclude that type inference is decidable for object-oriented programs, even with multiple inheritance and classes as first-class values.",,,Wand's model,
"Mackay J,Potanin A,Aldrich J,Groves L",Decidable Subtyping for Path Dependent Types,"Path dependent types have long served as an expressive component of the Scala programming language. They allow for the modelling of both bounded polymorphism and a degree of nominal subtyping. Nominality in turn provides the ability to capture first class modules. Thus a single language feature gives rise to a rich array of expressiveness. Recent work has proven path dependent types sound in the presence of both intersection and recursive types, but unfortunately typing remains undecidable, posing problems for programmers who rely on the results of type checkers. The Wyvern programming language is an object oriented language with path dependent types, recursive types and first class modules. In this paper we define two variants of Wyvern that feature decidable typing, along with machine checked proofs of decidability. Despite the restrictions, our approaches retain the ability to encode the parameteric polymorphism of Java generics along with many idioms of the Scala module system.","Subtyping, Object Oriented Languages, Structural Subtyping, Functional Languages, Nominal Subtyping, Wyvern, Scala, Decidability, Language Design, Path Dependent Types",,"Wyvern
PL",
"Nistor L,Kurilova D,Balzer S,Chung B,Potanin A,Aldrich J","Wyvern: A Simple, Typed, and Pure Object-Oriented Language","The simplest and purest practical object-oriented language designs today are seen in dynamically-typed languages, such as Smalltalk and Self. Static types, however, have potential benefits for productivity, security, and reasoning about programs. In this paper, we describe the design of Wyvern, a statically typed, pure object-oriented language that attempts to retain much of the simplicity and expressiveness of these iconic designs.Our goals lead us to combine pure object-oriented and functional abstractions in a simple, typed setting. We present a foundational object-based language that we believe to be as close as one can get to simple typed lambda calculus while keeping object-orientation. We show how this foundational language can be translated to the typed lambda calculus via standard encodings. We then define a simple extension to this language that introduces classes and show that classes are no more than sugar for the foundational object-based language. Our future intention is to demonstrate that modules and other object-oriented features can be added to our language as not more than such syntactical extensions while keeping the object-oriented core as pure as possible.The design of Wyvern closely follows both historical and modern ideas about the essence of object-orientation, suggesting a new way to think about a minimal, practical, typed core language for objects.","first-class classes, object-oriented, static type checking",,Wywern,
M. A. El-Zawawy,A Robust Framework for Asynchronous Operations on a Functional Object-Oriented Model,"Functional programming is a technique for expressing the constructions and constructs of computer software. This technique treats calculations similarly to the calculation functions in mathematics. Therefore concepts of semantic- states and changeable data are avoided. It may be defined as a declarative technique of programming meaning that programs are mainly expressions. An efficient programming style for systems is asynchronous programming which manages communications with system environment. Asynchronous programming is based on the idea of non-blocking execution of commands and keeping list of tasks in buffers for latter executions. The alternative style to asynchronous programming is to wait for the completion of long commands which leads to programs-execution problems. This paper introduces a robust framework for asynchronous operations on a functional object-oriented model for programming. Up to our knowledge, this is the first technique of its type. The presented model includes syntax for the language constructs and their (operational) semantics. The semantics is meant to serve as a formal background for the construction of theoretical analyses for the presented programming model. The paper presents also a programming example for the proposed model.",,,Zawawy model,
"Greiner S,Brest J,Žumer V",Zero—a blend of static typing and dynamic metaprogramming,"Zero is an experimental statically typed, fully object-oriented reflective programming language. Reflective features cover introspection as well as structural and behavioural reflection. The reflective facilities include safe method and class replacements and detailed modification of methods. These enable Zero programs to quickly accommodate to run-time requirements. Behavioural reflection is realised using handlers (hooks), which may be attached to all language constructs based on closures. Zero provides an efficient static typing system with run-time extensions. Methods are first class values and are represented as objects when such representation is required. By using such representation, Zero provides elegant use of statically typed higher-order methods.","Language design, Object-oriented programming, Structural reflection, Behavioural reflection, Static typing, Run-time modification",,"Zero
PL",
Zhao T,Polymorphic Type Inference for Scripting Languages with Object Extensions,This paper presents a polymorphic type inference algorithm for a small subset of JavaScript. The goal is to prevent accessing undefined members of objects. We define a type system that allows explicit extension of objects through add operation and implicit extension through method calls. The type system also permits strong updates and unrestricted extensions to new objects. The type inference algorithm is modular so that each function definition is only analyzed once and larger programs can be checked incrementally.,"type inference, javascript, dynamic languages, static types",,Zhao type system,
"Yang Q,Xu MW,Pi C",Delegation: A Language Facility for Dynamic Software Adaptation,"Due to the growing complexity of computing systems, and the increasing demand for high availability and reliability of them, adapting software at runtime is becoming more and more important. However, there is not sufficient support for dynamic software adaptation at the level of programming languages. In this paper, we investigate a language feature, namely delegation, to argue that delegation is a favorite choice to deal with dynamic software adaptation. To do that, we present Φ calculus, which is an imperative object-based calculus with delegation, to model essential features of languages, with focusing on how to incorporate delegation into programming languages to support dynamic software adaptation. We give the operational semantics of Φ calculus. We also state how delegation is used in object extending and method sharing between objects. We conclude that delegation makes dynamic software adaptation simpler and more flexible.","Φ object calculus, delegate, object calculus, delegation, dynamic software adaptation",,Φ calculus,
S. Alagić,Temporal Object-Oriented Programming,"An object-oriented, declarative, statically typed and temporal language system is presented. What makes this system very different from the currently prevailing strongly typed procedural object-oriented language systems is that methods are specified in a high-level, constraint sublanguage. The constraint sublanguage is based on a particular temporal paradigm, which has an execution model as well as the formal, initial model semantics. This constraint language system is seen as a non-traditional component of a sophisticated, typed object-oriented programming environment. It complements the procedural object-oriented languages in the areas of prototyping, simulation and databases. The paper covers the core ideas, the programming methodology, the type system, and the implementation techniques. Possible concurrent extensions and the limitations of the system are also discussed.",,,,no source
Zhang Qian; Li Weihua; Chen Shihong,The Concurrent Objects Calculus,"Research in concurrent object-oriented programming languages has suffered from the lack of a widely accepted formal foundation for describing the semantics of concurrent object systems. Based on the /spl pi/-calculus and the actor model respectively, people have tried to define a common semantic framework for concurrent object-oriented programming. In this paper, we try to compromise these two approaches. We define a formalism that enjoys a clean formal definition which allows the reuse of standard results of the theory of concurrency while preserving a high-level object-oriented programming style. We propose an actor algebra and a concurrent object calculus, and then we give the translation relationship between the two.",,,,no source
A. Borgida; J. Mylopoulos; R. Reiter,On the frame problem in procedure specifications,"The paper provides examples of situations where formal specifications of procedures in the standard pre/postcondition style become lengthy, cumbersome and difficult to change, a problem which is particularly acute in the case of object oriented specifications with inheritance. We identify the problem as the inability to express that a procedure changes only those things it has to, leaving everything else unmodified, and review some attempts at dealing with this ""frame problem"" in the software specification community. The second part of the paper adapts a recent proposal for a solution to the frame problem in artificial intelligence-the notion of explanation closure axioms-to provide an approach whereby one can state such conditions succinctly and modularly, with the added advantage of having the specifier be reminded of things that she may have omitted saying in procedure specifications. Since this approach is based on standard predicate logic, its semantics are relatively straightforward. The paper also suggests an algorithm which generates syntactically the explanation closure axioms from the pre/postcondition specifications, provided they are written in a restricted language; it also suggests a model theory supporting it.<<ETX>></ETX>",Borgida model of frame problem,,,not a full model
S. Subramanian; J. V. Cook,Automatic verification of object code against source code,"An important step when applying formal methods to gain assurance of trusted systems is the verification of object code against source code. One way to mechanically verify that the object code faithfully implements the source code from which it is compiled is to verify the compiler. However, verifying the implementation of an industrial-strength compiler is a very difficult technical problem at the present time. For small fragments of code, it may be easier to verify the equivalence of the source and object code by reasoning about their behavior directly without dealing with the algorithm used for translation. In this paper, we describe a system for automatically verifying MC68020 object code against C source code. The semantics of a small subset of C and MC68020 object code are formalized in the logic of Nqthm (a.k.a. the Boyer-Moore theorem prover). After a large collection of lemmas about C and MC68020 semantics are made available, Nqthm is able to prove the correctness theorems automatically for a small class of programs. For practical use of the system to be possible, we wrote a front-end to Nqthm that generates correctness theorems, given the C source file as input. Using our front-end, we tested our system by verifying the object code produced by the GCC and CC compilers for some small programs.",,,,
